Sex	Autonomous Communities and Cities	Age	Periodo	Total
Both genders	National Total	Total	2026QI	10,83
Both genders	National Total	Total	2025QIV	9,93
Both genders	National Total	Total	2025QIII	10,45
Both genders	National Total	Total	2025QII	10,29
Both genders	National Total	Total	2025QI	11,36
Both genders	National Total	Total	2024QIV	10,61
Both genders	National Total	Total	2024QIII	11,21
Both genders	National Total	Total	2024QII	11,27
Both genders	National Total	Total	2024QI	12,29
Both genders	National Total	Total	2023QIV	11,8
Both genders	National Total	Total	2023QIII	11,89
Both genders	National Total	Total	2023QII	11,67
Both genders	National Total	Total	2023QI	13,38
Both genders	National Total	Total	2022QIV	12,99
Both genders	National Total	Total	2022QIII	12,73
Both genders	National Total	Total	2022QII	12,69
Both genders	National Total	Total	2022QI	13,73
Both genders	National Total	Total	2021QIV	13,44
Both genders	National Total	Total	2021QIII	14,71
Both genders	National Total	Total	2021QII	15,39
Both genders	National Total	Total	2021QI	16,14
Both genders	National Total	Total	2020QIV	16,13
Both genders	National Total	Total	2020QIII	16,26
Both genders	National Total	Total	2020QII	15,33
Both genders	National Total	Total	2020QI	14,41
Both genders	National Total	Total	2019QIV	13,78
Both genders	National Total	Total	2019QIII	13,92
Both genders	National Total	Total	2019QII	14,02
Both genders	National Total	Total	2019QI	14,7
Both genders	National Total	Total	2018QIV	14,45
Both genders	National Total	Total	2018QIII	14,55
Both genders	National Total	Total	2018QII	15,28
Both genders	National Total	Total	2018QI	16,74
Both genders	National Total	Total	2017QIV	16,55
Both genders	National Total	Total	2017QIII	16,38
Both genders	National Total	Total	2017QII	17,22
Both genders	National Total	Total	2017QI	18,75
Both genders	National Total	Total	2016QIV	18,63
Both genders	National Total	Total	2016QIII	18,91
Both genders	National Total	Total	2016QII	20
Both genders	National Total	Total	2016QI	21
Both genders	National Total	Total	2015QIV	20,9
Both genders	National Total	Total	2015QIII	21,18
Both genders	National Total	Total	2015QII	22,37
Both genders	National Total	Total	2015QI	23,78
Both genders	National Total	Total	2014QIV	23,7
Both genders	National Total	Total	2014QIII	23,67
Both genders	National Total	Total	2014QII	24,47
Both genders	National Total	Total	2014QI	25,93
Both genders	National Total	Total	2013QIV	25,73
Both genders	National Total	Total	2013QIII	25,65
Both genders	National Total	Total	2013QII	26,06
Both genders	National Total	Total	2013QI	26,94
Both genders	National Total	Total	2012QIV	25,77
Both genders	National Total	Total	2012QIII	24,79
Both genders	National Total	Total	2012QII	24,4
Both genders	National Total	Total	2012QI	24,19
Both genders	National Total	Total	2011QIV	22,56
Both genders	National Total	Total	2011QIII	21,28
Both genders	National Total	Total	2011QII	20,64
Both genders	National Total	Total	2011QI	21,08
Both genders	National Total	Total	2010QIV	20,11
Both genders	National Total	Total	2010QIII	19,59
Both genders	National Total	Total	2010QII	19,89
Both genders	National Total	Total	2010QI	19,84
Both genders	National Total	Total	2009QIV	18,66
Both genders	National Total	Total	2009QIII	17,75
Both genders	National Total	Total	2009QII	17,77
Both genders	National Total	Total	2009QI	17,24
Both genders	National Total	Total	2008QIV	13,79
Both genders	National Total	Total	2008QIII	11,23
Both genders	National Total	Total	2008QII	10,36
Both genders	National Total	Total	2008QI	9,6
Both genders	National Total	Total	2007QIV	8,57
Both genders	National Total	Total	2007QIII	8,01
Both genders	National Total	Total	2007QII	7,93
Both genders	National Total	Total	2007QI	8,42
Both genders	National Total	Total	2006QIV	8,26
Both genders	National Total	Total	2006QIII	8,08
Both genders	National Total	Total	2006QII	8,44
Both genders	National Total	Total	2006QI	9,03
Both genders	National Total	Total	2005QIV	8,71
Both genders	National Total	Total	2005QIII	8,41
Both genders	National Total	Total	2005QII	9,32
Both genders	National Total	Total	2005QI	10,17
Both genders	National Total	Total	2004QIV	10,53
